max_r2,best_alpha,num_features,state
-0.10886223513417537,1e-05,218,950
-0.04901709269168716,5e-07,1360,951
-0.1905537502822345,5e-07,1323,952
-0.24044257974303665,1e-07,3374,953
-0.08189979775670361,5e-07,1382,954
-0.1568979333912506,1e-08,3339,955
-0.12933609813184627,1e-07,3364,956
-0.24288882733874387,1e-06,941,957
-0.08802257068545666,1e-06,966,958
-0.09364211676474352,1e-06,934,959
-0.2801143770903821,4.9999999999999996e-06,365,960
-0.13037481416503638,1e-06,938,961
-0.0742735247617678,4.9999999999999996e-06,329,962
-0.12943012341864335,4.9999999999999996e-06,360,963
-0.15366351359344674,1e-07,3332,964
-0.18095910781379776,1e-06,966,965
-0.12146050163821548,4.9999999999999996e-06,373,966
-0.17788421790485823,5e-08,3328,967
-0.1364308824381241,1e-05,242,968
-0.14471651167197477,5e-07,1323,969
-0.47805239817264084,1e-08,3383,970
-0.06158720581837639,5e-07,1427,971
-0.10428651702789336,4.9999999999999996e-06,361,972
-0.2958337235628614,1e-06,897,973
-0.20901846390959222,5e-07,1369,974
-0.3899979893308554,5e-07,1334,975
-0.14702683484415313,4.9999999999999996e-06,338,976
-0.12871979741757603,1e-06,953,977
-0.12177235669872472,5e-08,3411,978
-0.28432133455353703,5e-07,1329,979
-0.06053724260110668,1e-06,928,980
-0.13487648539545607,1e-07,3358,981
-0.2173112579891872,1e-08,3398,982
-0.05961379986899016,4.9999999999999996e-06,365,983
-0.01454452674544653,5e-07,1399,984
-0.14352159783663,1e-07,3343,985
-0.21133469106137676,5e-05,97,986
-0.08688535595978643,5e-08,3357,987
-0.27726419058528945,1e-06,1018,988
-0.16390764456591952,5e-07,1344,989
-0.23974696569016413,5e-07,1335,990
-0.1075087076516038,5e-07,1359,991
-0.10117461164148701,4.9999999999999996e-06,373,992
-0.23810005608379703,5e-07,1345,993
-0.06617716087001763,1e-06,993,994
-0.1614870851988549,5e-08,3383,995
-0.2933123021729881,5e-08,3356,996
-0.27916952026085456,5e-07,1306,997
-0.08122580373347822,4.9999999999999996e-06,376,998
-0.14070636176799237,1e-06,956,1000
